state,jurisdiction_type,name,fips_code,rate
AK,borough,Haines Borough,,0.055
AK,borough,Juneau City and Borough,,0.05
AK,borough,Kenai Peninsula Borough,,0.03
AK,borough,Ketchikan Gateway Borough,,0.025
AK,borough,Petersburg Borough,,0.06
AK,borough,Sitka City and Borough,,0.05
AK,borough,Skagway Municipality,,0.03
AK,borough,Wrangell City and Borough,,0.07
AK,borough,Yakutat City and Borough,,0.05
AK,city,Adak,,0.04
AK,city,Akutan,,0.015
AK,city,Alakanuk,,0.04
AK,city,Aleknagik,,0.05
AK,city,Ambler,,0.03
AK,city,Anaktuvuk Pass,,0.07
AK,city,Angoon,,0.03
AK,city,Aniak,,0.02
AK,city,Bethel,,0.06
AK,city,Brevig Mission,,0.03
AK,city,Buckland,,0.06
AK,city,Chefornak,,0.02
AK,city,Chevak,,0.03
AK,city,Chignik,,0.02
AK,city,Clark's Point,,0.06
AK,city,Cordova,,0.06
AK,city,Craig,,0.05
AK,city,Dillingham,,0.06
AK,city,Diomede,,0.04
AK,city,Eek,,0.02
AK,city,Elim,,0.03
AK,city,Emmonak,,0.04
AK,city,False Pass,,0.03
AK,city,Fort Yukon,,0.04
AK,city,Galena,,0.03
AK,city,Gambell,,0.05
AK,city,Gustavus,,0.03
AK,city,Homer,,0.0485
AK,city,Hoonah,,0.065
AK,city,Hooper Bay,,0.05
AK,city,Houston,,0.02
AK,city,Hydaburg,,0.06
AK,city,Kake,,0.05
AK,city,Kenai,,0.03
AK,city,Ketchikan,,0.03
AK,city,Kiana,,0.03
AK,city,King Cove,,0.06
AK,city,Kivalina,,0.02
AK,city,Klawock,,0.065
AK,city,Kobuk,,0.03
AK,city,Kodiak,,0.07
AK,city,Kotlik,,0.03
AK,city,Kotzebue,,0.06
AK,city,Koyuk,,0.03
AK,city,Kwethluk,,0.05
AK,city,Larsen Bay,,0.03
AK,city,Manokotak,,0.02
AK,city,Mekoryuk,,0.04
AK,city,Mountain Village,,0.03
AK,city,Napakiak,,0.05
AK,city,Napaskiak,,0.03
AK,city,Nenana,,0.04
AK,city,Nightmute,,0.02
AK,city,Nome,,0.05
AK,city,Nondalton,,0.03
AK,city,Noorvik,,0.04
AK,city,North Pole,,0.055
AK,city,Nunam Iqua,,0.04
AK,city,Nunapitchuk,,0.04
AK,city,Old Harbor,,0.03
AK,city,Ouzinkie,,0.06
AK,city,Palmer,,0.03
AK,city,Pelican,,0.04
AK,city,Pilot Station,,0.04
AK,city,Point Hope,,0.03
AK,city,Port Alexander,,0.02
AK,city,Quinhagak,,0.03
AK,city,Saint Mary's,,0.03
AK,city,Saint Michael,,0.05
AK,city,Saint Paul,,0.035
AK,city,Sand Point,,0.04
AK,city,Savoonga,,0.04
AK,city,Saxman,,0.04
AK,city,Scammon Bay,,0.06
AK,city,Selawik,,0.065
AK,city,Seldovia,,0.02
AK,city,Seward,,0.04
AK,city,Shaktoolik,,0.04
AK,city,Shishmaref,,0.03
AK,city,Soldotna,,0.03
AK,city,Stebbins,,0.05
AK,city,Tanana,,0.02
AK,city,Teller,,0.03
AK,city,Tenakee Springs,,0.02
AK,city,Thorne Bay,,0.06
AK,city,Togiak,,0.02
AK,city,Toksook Bay,,0.02
AK,city,Unalakleet,,0.05
AK,city,Unalaska,,0.03
AK,city,Wales,,0.03
AK,city,Wasilla,,0.025
AK,city,White Mountain,,0.01
AK,city,Whittier,,0.05
AL,city,Abbeville,,0.03
AL,city,Adamsville,,0.04
AL,city,Addison,,0.03
AL,city,Akron,,0.02
AL,city,Alabaster,,0.05
AL,city,Albertville,,0.05
AL,city,Alexander City,,0.04
AL,city,Aliceville,,0.02
AL,city,Allgood,,0.03
AL,city,Altoona,,0.05
AL,city,Andalusia,,0.035
AL,city,Anderson,,0.02
AL,city,Anniston,,0.05
AL,city,Arab,,0.05
AL,city,Ardmore,,0.03
AL,city,Argo,,0.04
AL,city,Ariton,,0.02
AL,city,Arley,,0.02
AL,city,Ashford,,0.04
AL,city,Ashland,,0.03
AL,city,Ashville,,0.04
AL,city,Athens,,0.03
AL,city,Atmore,,0.04
AL,city,Attalla,,0.05
AL,city,Auburn,,0.04
AL,city,Autaugaville,,0.04
AL,city,Bakerhill,,0.04
AL,city,Banks,,0.01
AL,city,Bay Minette,,0.03
AL,city,Bayou La Batre,,0.045
AL,city,Bear Creek,,0.03
AL,city,Beatrice,,0.015
AL,city,Beaverton,,0.02
AL,city,Belk,,0.01
AL,city,Berry,,0.03
AL,city,Bessemer,,0.04
AL,city,Billingsley,,0.03
AL,city,Birmingham,,0.04
AL,city,Black,,0.02
AL,city,Blountsville,,0.03
AL,city,Blue Springs,,0.01
AL,city,Boaz,,0.05
AL,city,Boligee,,0.01
AL,city,Bon Air,,0.04
AL,city,Brantley,,0.025
AL,city,Brent,,0.02
AL,city,Brewton,,0.04
AL,city,Bridgeport,,0.03
AL,city,Brighton,,0.04
AL,city,Brilliant,,0.03
AL,city,Brookside,,0.04
AL,city,Brookwood,,0.03
AL,city,Brundidge,,0.02
AL,city,Butler,,0.03
AL,city,Calera,,0.04
AL,city,Camden,,0.025
AL,city,Camp Hill,,0.035
AL,city,Carbon Hill,,0.04
AL,city,Cardiff,,0.04
AL,city,Carrollton,,0.01
AL,city,Castleberry,,0.03
AL,city,Cedar Bluff,,0.025
AL,city,Center Point,,0.04
AL,city,Centre,,0.025
AL,city,Centreville,,0.02
AL,city,Chatom,,0.05
AL,city,Chelsea,,0.05
AL,city,Cherokee,,0.035
AL,city,Cherokee Ridge,,0.05
AL,city,Chickasaw,,0.045
AL,city,Childersburg,,0.05
AL,city,Citronelle,,0.045
AL,city,Clanton,,0.03
AL,city,Clay,,0.04
AL,city,Clayhatchee,,0.02
AL,city,Clayton,,0.04
AL,city,Cleveland,,0.02
AL,city,Clio,,0.04
AL,city,Coaling,,0.03
AL,city,Coffee Springs,,0.02
AL,city,Coffeeville,,0.05
AL,city,Coker,,0.03
AL,city,Collinsville,,0.04
AL,city,Columbia,,0.03
AL,city,Columbiana,,0.05
AL,city,Coosada,,0.05
AL,city,Cordova,,0.04
AL,city,Cottonwood,,0.03
AL,city,County Line,,0.02
AL,city,Courtland,,0.03
AL,city,Cowarts,,0.02
AL,city,Creola,,0.04
AL,city,Crossville,,0.04
AL,city,Cuba,,0.03
AL,city,Cullman,,0.005
AL,city,Cusseta,,0.01
AL,city,Dadeville,,0.035
AL,city,Daleville,,0.04
AL,city,Daphne,,0.025
AL,city,Dauphin Island,,0.045
AL,city,Daviston,,0.02
AL,city,Deatsville,,0.01
AL,city,Decatur,,0.04
AL,city,Demopolis,,0.03
AL,city,Detroit,,0.02
AL,city,Dodge City,,0.005
AL,city,Dora,,0.03
AL,city,Dothan,,0.04
AL,city,Double Springs,,0.04
AL,city,Douglas,,0.03
AL,city,Dozier,,0.01
AL,city,Dutton,,0.03
AL,city,East Brewton,,0.05
AL,city,Eclectic,,0.05
AL,city,Edwardsville,,0.02
AL,city,Elba,,0.04
AL,city,Elberta,,0.04
AL,city,Eldridge,,0.03
AL,city,Elkmont,,0.02
AL,city,Elmore,,0.03
AL,city,Emelle,,0.02
AL,city,Enterprise,,0.04
AL,city,Ethelsville,,0.01
AL,city,Eufaula,,0.04
AL,city,Eutaw,,0.03
AL,city,Eva,,0.02
AL,city,Evergreen,,0.03
AL,city,Excel,,0.025
AL,city,Fairfield S&U,,0.04
AL,city,Fairhope,,0.02
AL,city,Fairview,,0.005
AL,city,Falkville,,0.04
AL,city,Faunsdale,,0.03
AL,city,Fayette,,0.035
AL,city,Five Points,,0.05
AL,city,Flomaton,,0.05
AL,city,Florala,,0.035
AL,city,Florence,,0.045
AL,city,Foley,,0.03
AL,city,Forkland,,0.02
AL,city,Fort Deposit,,0.025
AL,city,Fort Payne,,0.04
AL,city,Franklin,,0.03
AL,city,Frisco City,,0.015
AL,city,Fruithurst,,0.03
AL,city,Fulton,,0.03
AL,city,Fultondale,,0.04
AL,city,Fyffe,,0.04
AL,city,Gadsden,,0.05
AL,city,Gainesville,,0.02
AL,city,Gantt,,0.02
AL,city,Garden City,,0.005
AL,city,Gardendale,,0.04
AL,city,Gaylesville,,0.02
AL,city,Geiger,,0.02
AL,city,Geneva City,,0.035
AL,city,Georgiana,,0.045
AL,city,Geraldine,,0.04
AL,city,Gilbertown,,0.02
AL,city,Glen Allen,,0.01
AL,city,Glencoe,,0.05
AL,city,Glenwood,,0.02
AL,city,Good Hope,,0.005
AL,city,Goodwater,,0.04
AL,city,Gordo,,0.02
AL,city,Gordon,,0.04
AL,city,Gordonville,,0.02
AL,city,Goshen,,0.02
AL,city,Grant,,0.03
AL,city,Graysville,,0.04
AL,city,Greensboro,,0.03
AL,city,Greenville,,0.055
AL,city,Grimes,,0.04
AL,city,Grove Hill,,0.05
AL,city,Guin,,0.03
AL,city,Gulf Shores,,0.03
AL,city,Guntersville,,0.05
AL,city,Gurley,,0.035
AL,city,Hackleburg,,0.02
AL,city,Haleburg,,0.02
AL,city,Haleyville,,0.04
AL,city,Hamilton,,0.03
AL,city,Hammondville,,0.03
AL,city,Hanceville,,0.005
AL,city,Harpersville,,0.04
AL,city,Hartford,,0.03
AL,city,Hartselle,,0.04
AL,city,Hayden,,0.02
AL,city,Hayneville,,0.025
AL,city,Headland,,0.03
AL,city,Heath,,0.02
AL,city,Heflin,,0.03
AL,city,Helena,,0.05
AL,city,Henagar,,0.04
AL,city,Highland Lake,,0.03
AL,city,Hillsboro,,0.02
AL,city,Hobson City,,0.04
AL,city,Hodges,,0.02
AL,city,Hokes Bluff,,0.05
AL,city,Hollywood,,0.03
AL,city,Homewood,,0.04
AL,city,Hoover,,0.035
AL,city,Hueytown,,0.04
AL,city,Huntsville,,0.045
AL,city,Hurtsboro,,0.04
AL,city,Hytop,,0.01
AL,city,Ider,,0.04
AL,city,Indian Springs Village,,0.02
AL,city,Irondale,,0.04
AL,city,Jackson,,0.05
AL,city,Jacksons Gap,,0.03
AL,city,Jacksonville,,0.05
AL,city,Jasper,,0.035
AL,city,Jemison,,0.04
AL,city,Kansas,,0.01
AL,city,Kellyton,,0.02
AL,city,Kennedy,,0.03
AL,city,Killen,,0.02
AL,city,Kilpatrick,,0.04
AL,city,Kimberly,,0.04
AL,city,Kinsey,,0.04
AL,city,Kinston,,0.04
AL,city,Lafayette,,0.05
AL,city,Lake View,,0.02
AL,city,Lanett,,0.05
AL,city,Langston,,0.02
AL,city,Leeds,,0.04
AL,city,Leesburg,,0.015
AL,city,Leighton,,0.035
AL,city,Level Plains,,0.03
AL,city,Lexington,,0.03
AL,city,Lincoln,,0.05
AL,city,Linden,,0.03
AL,city,Lineville,,0.03
AL,city,Lipscomb,,0.04
AL,city,Lisman,,0.03
AL,city,Littleville,,0.045
AL,city,Livingston,,0.03
AL,city,Loachapoka,,0.015
AL,city,Lockhart,,0.035
AL,city,Locust Fork,,0.02
AL,city,Louisville,,0.04
AL,city,Lowndesboro,,0.02
AL,city,Loxley,,0.02
AL,city,Luverne,,0.025
AL,city,Lynn,,0.02
AL,city,Madison City,,0.035
AL,city,Madrid,,0.04
AL,city,Magnolia Springs,,0.03
AL,city,Malvern,,0.02
AL,city,Maplesville,,0.03
AL,city,Margaret,,0.04
AL,city,Marion,,0.03
AL,city,Mcintosh,,0.05
AL,city,Mckenzie,,0.04
AL,city,Mentone,,0.04
AL,city,Midfield,,0.04
AL,city,Midland City,,0.03
AL,city,Midway,,0.03
AL,city,Millbrook,,0.045
AL,city,Millport,,0.03
AL,city,Millry,,0.05
AL,city,Mobile,,0.05
AL,city,Monroeville,,0.025
AL,city,Montevallo,,0.05
AL,city,Montgomery,,0.035
AL,city,Moody,,0.04
AL,city,Mooresville,,0.02
AL,city,Morris,,0.04
AL,city,Mosses,,0.02
AL,city,Moulton,,0.02
AL,city,Moundville,,0.03
AL,city,Mount Vernon,,0.04
AL,city,Mountain Brook,,0.04
AL,city,Mulga,,0.03
AL,city,Munford,,0.05
AL,city,Muscle Shoals,,0.035
AL,city,Myrtlewood,,0.02
AL,city,Napier Field,,0.03
AL,city,Natural Bridge,,0.03
AL,city,Nauvoo,,0.02
AL,city,Needham,,0.01
AL,city,New Brockton,,0.04
AL,city,New Hope,,0.035
AL,city,New Site,,0.03
AL,city,Newbern,,0.01
AL,city,Newton,,0.03
AL,city,Newville,,0.02
AL,city,North Courtland,,0.02
AL,city,Northport,,0.03
AL,city,Notasulga,,0.03
AL,city,Oak Grove,,0.03
AL,city,Oakman,,0.04
AL,city,Odenville,,0.04
AL,city,Ohatchee,,0.05
AL,city,Oneonta,,0.03
AL,city,Opelika,,0.04
AL,city,Opp,,0.035
AL,city,Orange Beach,,0.03
AL,city,Orrville,,0.045
AL,city,Owens Cross Rd,,0.025
AL,city,Oxford,,0.05
AL,city,Ozark,,0.04
AL,city,Parrish,,0.04
AL,city,Pelham,,0.05
AL,city,Pell City,,0.05
AL,city,Pennington,,0.03
AL,city,Perdido Beach,,0.02
AL,city,Phenix City Within Lee Co,,0.0475
AL,city,Phenix City Within Russell Co,,0.0475
AL,city,Phil Campbell,,0.03
AL,city,Pickensville,,0.02
AL,city,Piedmont,,0.05
AL,city,Pike Road,,0.0225
AL,city,Pinckard,,0.04
AL,city,Pine Hill,,0.025
AL,city,Pine Level,,0.03
AL,city,Pine Ridge,,0.04
AL,city,Pinson,,0.04
AL,city,Pisgah,,0.03
AL,city,Pleasant Grove,,0.04
AL,city,Powell,,0.03
AL,city,Prattville,,0.035
AL,city,Priceville,,0.02
AL,city,Prichard,,0.05
AL,city,Ragland,,0.04
AL,city,Rainbow City,,0.05
AL,city,Rainsville,,0.04
AL,city,Ranburne,,0.02
AL,city,Red Bay,,0.025
AL,city,Red Level,,0.025
AL,city,Reece City,,0.03
AL,city,Reform,,0.02
AL,city,Rehobeth,,0.04
AL,city,Repton,,0.04
AL,city,Ridgeville,,0.02
AL,city,River Falls,,0.02
AL,city,Riverside,,0.04
AL,city,Riverview,,0.03
AL,city,Roanoke,,0.035
AL,city,Robertsdale,,0.02
AL,city,Rockford,,0.03
AL,city,Rogersville,,0.02
AL,city,Russellville,,0.03
AL,city,Rutledge,,0.02
AL,city,Samson Sales,,0.03
AL,city,Sand Rock,,0.02
AL,city,Sanford,,0.02
AL,city,Saraland,,0.045
AL,city,Sardis City,,0.05
AL,city,Satsuma,,0.045
AL,city,Scottsboro,,0.03
AL,city,Section,,0.03
AL,city,Selma,,0.045
AL,city,Semmes,,0.04
AL,city,Sheffield,,0.04
AL,city,Shiloh,,0.03
AL,city,Shorter,,0.05
AL,city,Silas,,0.02
AL,city,Silverhill,,0.02
AL,city,Sipsey,,0.02
AL,city,Skyline,,0.03
AL,city,Slocomb,,0.03
AL,city,Smiths Station,,0.01
AL,city,Snead,,0.02
AL,city,Somerville,,0.02
AL,city,South Vinemont,,0.005
AL,city,Southside,,0.05
AL,city,Spanish Fort,,0.015
AL,city,Spanish Fort East Shore Dist,,0.025
AL,city,Spanish Fort Town Center Dist,,0.0395
AL,city,Springville,,0.04
AL,city,St Florian,,0.03
AL,city,Steele,,0.02
AL,city,Stevenson,,0.03
AL,city,Sulligent,,0.035
AL,city,Sumiton,,0.04
AL,city,Summerdale,,0.03
AL,city,Susan Moore,,0.02
AL,city,Sweet Water,,0.03
AL,city,Sylacauga,,0.045
AL,city,Sylvan Springs,,0.04
AL,city,Sylvania,,0.04
AL,city,Talladega City,,0.05
AL,city,Tallassee Within Elmore Co,,0.05
AL,city,Tallassee Within Tallapoosa Co,,0.04
AL,city,Tarrant,,0.04
AL,city,Taylor,,0.04
AL,city,Thomaston,,0.03
AL,city,Thomasville,,0.05
AL,city,Thorsby,,0.03
AL,city,Town Creek,,0.02
AL,city,Toxey,,0.02
AL,city,Trafford,,0.03
AL,city,Triana,,0.035
AL,city,Trinity,,0.04
AL,city,Troy,,0.03
AL,city,Trussville,,0.04
AL,city,Tuscaloosa City,,0.03
AL,city,Tuscumbia,,0.04
AL,city,Tuskegee,,0.05
AL,city,Unaba Tallassee/Elmore Co,,0.015
AL,city,Unaba Tallassee/Tallapoosa Co,,0.01
AL,city,Unabated Albertville,,0.007
AL,city,Unabated Alexander City,,0.0025
AL,city,Unabated Arab,,0.015
AL,city,Unabated Athens,,0.012
AL,city,Unabated Boaz,,0.01
AL,city,Unabated Brewton,,0.01
AL,city,Unabated Chelsea,,0.01
AL,city,Unabated Cullman,,0.005
AL,city,Unabated Daleville,,0.00833
AL,city,Unabated Elba,,0.0075
AL,city,Unabated Enterprise,,0.012
AL,city,Unabated Evergreen,,0.01
AL,city,Unabated Florence,,0.0105
AL,city,Unabated Geneva,,0.006
AL,city,Unabated Georgiana,,0.01
AL,city,Unabated Guntersville,,0.015
AL,city,Unabated Haleyville,,0.003
AL,city,Unabated Hartselle,,0.01
AL,city,Unabated Homewood,,0.01
AL,city,Unabated Mckenzie,,0.01
AL,city,Unabated Opp,,0.01
AL,city,Unabated Oxford,,0.01
AL,city,Unabated Ozark,,0.005
AL,city,Unabated Pelham,,0.01
AL,city,Unabated Pell City,,0.013
AL,city,Unabated Saraland,,0.005
AL,city,Unabated Thomasville,,0.005
AL,city,Unabated Vestavia Hills,,0.00075
AL,city,Unabated Westover,,0.01
AL,city,Union,,0.01
AL,city,Union Grove,,0.01
AL,city,Union Springs,,0.035
AL,city,Uniontown,,0.03
AL,city,Valley,,0.05
AL,city,Valley Grande,,0.03
AL,city,Valley Head,,0.04
AL,city,Vance,,0.03
AL,city,Vernon,,0.04
AL,city,Vestavia Hills,,0.04
AL,city,Vina,,0.02
AL,city,Vincent,,0.04
AL,city,Wadley,,0.03
AL,city,Waldo,,0.01
AL,city,Walnut Grove,,0.03
AL,city,Warrior,,0.04
AL,city,Waterloo,,0.025
AL,city,Waverly,,0.02
AL,city,Weaver,,0.05
AL,city,Webb,,0.03
AL,city,Wedowee,,0.035
AL,city,West Blocton,,0.02
AL,city,West Jefferson,,0.04
AL,city,Westover,,0.05
AL,city,Westover Sales & Use,,0.05
AL,city,Wetumpka,,0.04
AL,city,White Hall,,0.02
AL,city,Wilsonville,,0.03
AL,city,Wilton,,0.03
AL,city,Winfield,,0.05
AL,city,Woodland,,0.03
AL,city,Woodstock,,0.02
AL,city,Woodville,,0.03
AL,city,Yellow Bluff,,0.015
AL,city,York,,0.04
AL,county,Autauga County,001,0.02
AL,county,Baldwin County,003,0.03
AL,county,Barbour County,005,0.015
AL,county,Bibb County,007,0.04
AL,county,Blount County,009,0.03
AL,county,Bullock County,011,0.025
AL,county,Butler County,013,0.015
AL,county,Cherokee County,019,0.035
AL,county,Choctaw County,023,0.03
AL,county,Clarke County,025,0.01
AL,county,Clay County,027,0.02
AL,county,Cleburne County,029,0.02
AL,county,Coffee County,031,0.01
AL,county,Colbert County,033,0.015
AL,county,Conecuh County,035,0.02
AL,county,Coosa County,037,0.02
AL,county,Covington County,039,0.025
AL,county,Crenshaw County,041,0.035
AL,county,Cullman County,043,0.045
AL,county,Dale County,045,0.02
AL,county,Dallas County,047,0.015
AL,county,Dekalb County,049,0.01
AL,county,Elmore County,051,0.01
AL,county,Escambia County,053,0.02
