state,rate_change_events,jurisdictions_changed,first_change,last_change,observation_window_days,annualized_change_rate
WA,434,434,2026-07-07,2026-07-07,106,1494.4
IL,411,297,2026-05-27,2026-08-11,106,1415.2
KS,21,21,2026-07-07,2026-07-07,106,72.3
OK,10,10,2026-07-07,2026-07-07,106,34.4
AL,5,5,2026-05-27,2026-08-04,106,17.2
AR,4,4,2026-07-07,2026-07-07,106,13.8
AZ,4,4,2026-07-07,2026-09-01,106,13.8
CO,4,4,2026-07-21,2026-07-21,106,13.8
FL,2,2,2026-05-18,2026-05-18,106,6.9
MO,2,2,2026-06-09,2026-06-09,106,6.9
ND,2,2,2026-07-07,2026-07-07,106,6.9
TX,2,2,2026-07-28,2026-07-28,106,6.9
GA,1,1,2026-07-07,2026-07-07,106,3.4
NE,1,1,2026-07-07,2026-07-07,106,3.4
SD,1,1,2026-07-07,2026-07-07,106,3.4
TN,1,1,2026-08-04,2026-08-04,106,3.4
UT,1,1,2026-07-07,2026-07-07,106,3.4
WY,1,1,2026-07-07,2026-07-07,106,3.4
